Language code (ISO 639-1),lang-code,en,fr
Language code (ISO 639-2/T),lang-code-iso-639-2,eng,fra
Language direction,lang-dir,ltr,ltr
Language name (English),lang-en,English,French
Language name (French),lang-fr,anglais,français
Language name (native),lang-native,English,Français
General (i18n),all,All,Tous
,add,Add,Ajouter
,home,Home,Accueil
,main-page,Main page,Page principale
,focus,Focus,Foyer
,tphp,Top of page,Haut de la page
,you-are-in,You are in:,Vous êtes dans :
,you-are-here,You are here:,Vous êtes ici :
,welcome-to,Welcome to:,Bienvenue à :
,load,loading...,chargement...
,process,processing...,traitement...
,srch,Search,Recherche
,srch-terms,Search for term(s):,Recherche de terme(s)&#160;:
,no-match,No match found,Aucune correspondance trouvée
,matches,[MIXIN] match(es) found,[MIXIN] correspondance(s) trouvées
,srch-menus,Search and menus,Recherche et menus
,menu,Menu,Menu
,menu-close,Close menu,Fermer le menu
,overlay-close,Close overlay,Fermer la fenêtre superposée
,settings,Settings,Paramètres
,langs,Languages,Langues
,about,About,À propos
,current,(current),(actuel)
,hide,Hide,Masquer
,err,Error,Erreur
,colon,:,&#160;:
,hyphen, - , - 
,full-stop,.,.
,comma-space,", ",", "
,space,&#32;,&#32;
,start,Start,Lancer
,stop,Stop,Arrêter
,back,Back,Précédent
,cancel,Cancel,Annuler
,show,Show,Afficher
,new-win, (Opens in a new window), (Ouvre dans une nouvelle fenêtre)
,min-ago,a minute ago,il y a une minute
,coup-mins,couple of minutes ago,il y a quelques minutes
,mins-ago,[MIXIN] minutes ago,il y a [MIXIN] minutes
,hour-ago,an hour ago,il y a une heure
,hours-ago,[MIXIN] hours ago,il y a [MIXIN] heures
,days-ago,[MIXIN] days ago,il y a [MIXIN] jours
,yesterday,yesterday,hier
,nxt,Next,Suivant
,nxt-r,Next (right arrow key),Suivant (touche droite)
,prv,Previous,Précédent
,prv-l,Previous (left arrow key),Précédent (touche gauche)
,first,First,Premier
,last,Last,Dernier
,page,Page,Page
,esc-key,(escape key),(touche d\'échappement)
Archived Web page template,arch-pg,This Web page has been archived on the Web.,Cette page Web a été archivée dans le Web.
Menu bar,sm-hlp,(open the submenu with the enter key and close with the escape key),(ouvrir le sous-menu avec la touche d\'entrée et le fermer avec la touche d\'échappement)
Tabbed interface,tab-rot-off,Stop tab rotation,Arrêter la rotation d\'onglets
,tab-rot-on,Start tab rotation,Lancer la rotation d\'onglets
,tab,Tab #num#,Onglet #num#
,tab-list,Tab list,Liste des onglets
,tab-pnl-end1,End of this tab panel.,Fin de ce panneau à onglets.
,tab-pnl-end2,Return to the tab list,Retourner à la liste des onglets
,tab-pnl-end3,or continue to the rest of page.,ou continuer au reste de la page.
,tab-play,Play,Lancer
Multimedia player,mmp-play,Play,Lire
,pause,Pause,Pause
,open,Open,Ouvrir
,close,Close,Fermer
,rew,Rewind,Reculer
,ffwd,Fast forward,Avancer
,mute-on,Mute,Activer le mode muet
,mute-off,Unmute,Désactiver le mode muet
,volume,Volume,Volume
,cc-off,Hide closed captioning,Masquer le sous-titrage
,cc-on,Show closed captioning,Afficher le sous-titrage
,cc-err,Error loading closed captions,Erreur dans le chargement des sous-titres
,adesc-on,Enable audio description,Activer l\'audiodescription
,adesc-off,Disable audio description,Désactiver l\'audiodescription
,prog-bar,use left and right arrow keys to advance and rewind the media\'s progress,utilisez les touches gauche ou droite pour avancer ou reculer le progrès des médias
,no-video,"Your browser does not appear to have the capabilities to play this video, please download the video below","Votre navigateur ne semble pas avoir les capacité nécessaires pour lire cette vidéo, s\'il vous plaît télécharger la vidéo ci-dessous"
,pos,Current position:,Position actuelle :
,perc,Playback percentage:,Pourcentage de lecture :
,dur,Total time:,Temps total :
,buff,Buffered:,Mis en mémoire-tampon :
Share widget,fav,Favourite,Lien préféré
,email,Email,Courriel
,shr-txt,Share,Partagez
,shr-pg, this page, cette page
,shr-vid, this video, cette vidéo
,shr-aud, this audio file, ce fichier audio
,shr-hnt, with {s} , avec {s} 
,shr-email-sub,Interesting page,Page qui est intéressante
,shr-email-bd,I thought you might find this page interesting:\n{t} ({u}),J\'espère que cette page vous intéresse :\n{t} ({u})
,shr-fav-ttl,(bookmark this page),(ajouter cette page à vos signets)
,shr-man,Please close this dialog and press Ctrl-D to bookmark this page.,S\'il vous plaît fermer ce dialogue et appuyer sur Ctrl-D pour ajouter cette page à vos signets.
